epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,2.383730888366699,2.563060817718506,0.001,30.261006832122803,1.3868101835250854,10.906061172485352,0.007638935465365648,1.423276605606079,11.692563858032226,0.008619156368076801,,,,
2,2.289584159851074,2.3832835388183593,0.001,29.77092456817627,1.3824187517166138,9.943607330322266,0.007463853806257248,1.4369279527664185,11.225207901000976,0.0071091634221374985,,,,
3,2.284590005874634,2.4379969596862794,0.001,25.83931612968445,1.3819854259490967,9.79926872253418,0.007527324371039867,1.3967457389831544,11.177606887817383,0.00791594062000513,,,,
4,2.2742342948913574,2.308960690498352,0.001,27.00454831123352,1.382798433303833,9.778097152709961,0.007435780484229326,1.382440719604492,11.09005283355713,0.006776533387601376,,,,
5,2.2202775478363037,2.4056180477142335,0.001,32.986165046691895,1.306107997894287,9.351613998413086,0.007654090877622366,1.3452497625350952,10.907106170654297,0.00808874636888504,2.2970371770858766,1.5197893619537353,10.202418365478515,0.006571327969431877
