epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,2.2384655475616455,2.516124324798584,0.001,11.614479541778564,1.3710911273956299,10.36304759979248,0.006532903295010328,1.4267086505889892,11.276616401672364,0.008258245326578617,,,,
2,2.174855947494507,2.448969383239746,0.001,11.639721632003784,1.3558945655822754,9.8643159866333,0.006363671738654375,1.4142319941520691,9.556425666809082,0.008934922218322754,,,,
3,2.092322826385498,2.3683842849731445,0.001,11.69040322303772,1.3278437852859497,9.30793571472168,0.0061243376694619656,1.3761603355407714,9.423788948059082,0.008460070714354515,,,,
4,2.0374529361724854,2.3248614501953124,0.001,11.71178650856018,1.278397798538208,9.115076065063477,0.006008226424455643,1.3369188117980957,10.26894344329834,0.007636122554540634,,,,
5,1.9621328115463257,2.169351167678833,0.001,11.766331672668457,1.2417165040969849,8.789758682250977,0.0057182093150913715,1.3395800542831422,8.387968940734863,0.0074842128902673725,2.1485909843444824,1.2673263835906983,8.634822807312013,0.007506240606307984
