epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,2.1417338848114014,2.331284637451172,0.001,72.4566113948822,1.2948538064956665,9.457660675048828,0.006681479979306459,1.3430664253234863,9.462498741149902,0.008255651332437991,,,,
2,1.9675588607788086,2.2510504150390624,0.001,48.23099422454834,1.2494757175445557,7.880464553833008,0.006394394673407078,1.2792097234725952,9.360677452087403,0.007906326353549957,,,,
3,1.893000841140747,2.1068831729888915,0.001,50.55201005935669,1.2269879579544067,7.202661514282227,0.006290644872933626,1.267478313446045,7.356431579589843,0.008036191165447236,,,,
4,1.8741222620010376,2.0459425163269045,0.001,39.46287441253662,1.228708267211914,7.090185642242432,0.006179390475153923,1.2538539934158326,7.200682334899902,0.007632640786468982,,,,
5,1.8511136770248413,2.185342102050781,0.001,51.87365794181824,1.2023142576217651,7.07694149017334,0.0061128693632781506,1.2801370763778686,8.283996772766113,0.008049976825714112,2.045845603942871,1.299931697845459,6.799464149475098,0.007667337022721768
