epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,15.565954208374023,4.389106063842774,0.001,53.64756679534912,46.458900451660156,10.05553913116455,0.006784706376492977,11.781540908813476,10.195621566772461,0.008089523762464523,,,,
2,3.622210741043091,3.2854402256011963,0.001,55.214089155197144,9.334074020385742,8.866059303283691,0.00654869107529521,5.297854919433593,10.870776634216309,0.00793482679873705,,,,
3,2.632816791534424,3.441621894836426,0.001,53.58831834793091,4.982977867126465,8.671113967895508,0.006496804766356945,11.261317596435546,8.486604042053223,0.007434534244239331,,,,
4,2.5251646041870117,3.7602453231811523,0.001,45.52122664451599,6.4617085456848145,7.358305931091309,0.0064270226284861565,11.768953857421875,7.841120948791504,0.007826345711946488,,,,
5,2.590639591217041,3.025198154449463,0.001,43.574313163757324,6.172736644744873,6.791789531707764,0.006366848945617676,9.026459312438964,7.87760066986084,0.00815637744963169,3.013323574066162,9.070328598022462,7.605331115722656,0.008284489400684833
