epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,2.195206642150879,2.309591703414917,0.001,0.32634878158569336,1.3150700330734253,9.748727798461914,0.006875978782773018,1.292588701248169,9.697519760131836,0.00815505463629961,,,,
2,1.7543628215789795,1.9961691761016847,0.001,0.11468911170959473,1.1772561073303223,5.777435779571533,0.0062630618922412395,1.242494113445282,6.263151817321777,0.007898583263158798,,,,
3,1.6766959428787231,1.8772431564331056,0.001,0.13195013999938965,1.1794577836990356,5.025442600250244,0.0060448492877185345,1.2636511945724487,4.910061836242676,0.0076124870404601095,,,,
4,1.6297062635421753,1.882659568786621,0.001,0.1568012237548828,1.1739128828048706,4.685653209686279,0.005866960622370243,1.237638177871704,5.0583554458618165,0.007702536918222904,,,,
5,1.5965960025787354,1.845168685913086,0.001,0.12940382957458496,1.144962191581726,4.684391498565674,0.005707500968128443,1.2232810211181642,5.099434814453125,0.007387414127588272,1.8213469219207763,1.2247020196914673,4.522146415710449,0.007570502497255802
