epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,10.644088745117188,1.8678543000946972,0.001,90.47665667533875,24.279525756835938,8.3159818649292,0.04389405623078346,4.720558760143453,5.951831589624549,0.03901083809196487,,,,
2,1.6448482275009155,1.453857015296997,0.001,89.67137479782104,3.9882967472076416,5.370883941650391,0.036343757063150406,3.667246776100984,3.7962939548440646,0.03482133104419605,,,,
3,1.4173039197921753,1.230478386144068,0.001,93.74176120758057,3.9709060192108154,4.009115695953369,0.03371717035770416,4.170121361309292,3.1414156427104247,0.029790865389515538,,,,
4,1.1428568363189697,1.0813918292372366,0.001,97.42912268638611,3.9865169525146484,2.8500499725341797,0.02810976468026638,3.9855561238165675,2.169075912070332,0.028666245105083317,,,,
5,1.0633879899978638,1.2132653761705665,0.001,97.38102316856384,4.005770206451416,2.456037759780884,0.026478048413991928,3.7835386376358087,3.12347946906364,0.03272239930040245,,,,
6,0.9957490563392639,0.8886140620548987,0.001,99.6899824142456,4.033784866333008,2.4252865314483643,0.02510140836238861,4.203687523067742,1.758583361459766,0.02334126433995826,,,,
7,0.9301011562347412,0.8636923006905345,0.001,99.74852347373962,4.028090476989746,2.164350748062134,0.023242387920618057,4.130887256579849,2.106933706662506,0.02152017196125908,,,,
8,0.8225469589233398,0.9392675064967946,0.001,99.35077834129333,4.067145824432373,1.934733510017395,0.020810307934880257,4.195036022461973,3.0779902261801895,0.02268999031604075,,,,
9,0.80301833152771,0.7570114438399727,0.001,100.36450552940369,4.058727264404297,1.9776058197021484,0.020091231912374496,3.952512531506025,1.6206022263656052,0.01923202925850457,,,,
10,0.8053145408630371,0.8540247009355683,0.001,100.39737868309021,4.067140579223633,1.9837790727615356,0.01970830000936985,4.097480357737828,2.3449969822029173,0.021873827478588407,,,,
11,0.7462468147277832,0.6764263816627668,0.001,99.3285346031189,4.06282377243042,1.8236877918243408,0.018627744168043137,3.917216781379499,1.549999709589999,0.017475739484918155,,,,
12,0.7168205976486206,0.6875096946982681,0.001,100.20840239524841,4.066619873046875,1.744698405265808,0.017919832840561867,3.9861626846213483,1.638636620822567,0.016823505996089463,,,,
13,0.6967337131500244,0.7119826692851503,0.001,99.30547738075256,4.078143119812012,1.8702977895736694,0.017051907256245613,4.059078861661129,2.265440815792224,0.016534546866618326,,,,
14,0.6395324468612671,0.598966349161065,0.001,100.44772529602051,4.081332683563232,1.6972955465316772,0.015925953164696693,4.108133637376073,1.4040656585051206,0.015379850925564965,,,,
15,0.6245872378349304,0.5360415593983537,0.001,100.49931192398071,4.087556838989258,1.533751130104065,0.015494334511458874,4.135986305221186,1.1365854074537516,0.013971482525916769,,,,
16,0.6075058579444885,0.5527712693747348,0.001,99.21407985687256,4.091156959533691,1.5472975969314575,0.015270915813744068,4.05631179173301,1.1580814224019917,0.015273875994709411,,,,
17,0.5611108541488647,0.5062757053344408,0.001,100.57554340362549,4.0885491371154785,1.3616799116134644,0.0139710558578372,4.010532068771936,1.3997178363701184,0.012347498747909146,,,,
18,0.5164278149604797,0.5361024008490711,0.001,99.2477035522461,4.09440803527832,1.2777276039123535,0.012808028608560562,4.166791592627291,1.5363488658198237,0.012341952412655186,,,,
19,0.5345536470413208,0.4817498698665093,0.001,100.18487119674683,4.1100592613220215,1.3962575197219849,0.013116135261952877,4.127082932199596,1.0725559207466469,0.012130285861137874,,,,
20,0.49548840522766113,0.45433561595764305,0.001,99.97125768661499,4.1036200523376465,1.2377055883407593,0.012189853005111217,4.079450962120602,1.0456305574839975,0.011089298408317586,,,,
21,0.482062429189682,0.448349406260543,0.001,99.39296078681946,4.094520568847656,1.2869874238967896,0.011568930931389332,3.975017325007304,1.0310131590946727,0.010797343646476056,,,,
22,0.4872950613498688,0.41032664774347755,0.001,100.54499125480652,4.101861476898193,1.4016094207763672,0.011485890485346317,4.161478381663724,1.0055908246119671,0.009962202982171821,,,,
23,0.41227489709854126,0.49421332465900264,0.001,100.11945033073425,4.099306106567383,1.054407000541687,0.00995553657412529,4.0859130074784025,1.5235723193626198,0.0112252014723583,,,,
24,0.4457108974456787,0.44061856826366147,0.001,99.38465142250061,4.097541809082031,1.1870601177215576,0.010473939590156078,3.986899022930801,1.005488904982992,0.010628649112315845,,,,
25,0.4085995554924011,0.44200681617289755,0.001,100.17295718193054,4.0999603271484375,1.0366510152816772,0.009570453315973282,4.199087495152263,1.0000344814797313,0.009782136905447922,,,,
26,0.42292630672454834,0.45980076040832984,0.0005,99.60437083244324,4.106115818023682,1.1879372596740723,0.009989840909838676,4.0685660753397475,1.346781171285642,0.010672758422990938,,,,
27,0.336289644241333,0.3180876057272268,0.0005,100.53141260147095,4.10592794418335,0.8535106778144836,0.008344710804522038,4.070816906135127,0.7137624759729272,0.008174647785007465,,,,
28,0.314765989780426,0.3220070552518739,0.0005,100.1451346874237,4.111901760101318,0.733069658279419,0.007931748405098915,4.120086593748451,0.6954636397363874,0.008294936396505618,,,,
29,0.30691012740135193,0.3094412077389506,0.0005,99.41072511672974,4.110747337341309,0.7498430609703064,0.007681740447878838,4.083266980204206,0.7859363230093802,0.007695737315311762,,,,
30,0.30647388100624084,0.3850755288519475,0.0005,100.2486846446991,4.111195087432861,0.7405923008918762,0.007615663576871157,4.104525669132927,1.3493819820531918,0.00837546844378731,,,,
31,0.3032543957233429,0.29833983368397393,0.0005,99.97192358970642,4.110703945159912,0.7472211718559265,0.007593998685479164,4.099618443968666,0.7288211498319582,0.007335344700727272,,,,
32,0.28966012597084045,0.305774817175083,0.0005,99.29586267471313,4.1139397621154785,0.7106887698173523,0.007178225088864565,4.141924146686213,0.6891706527477015,0.008164637283792017,,,,
33,0.2861749231815338,0.28455766338645194,0.0005,100.25756049156189,4.113935470581055,0.6727742552757263,0.0071898289024829865,4.073831234525797,0.6307914651819624,0.007087474848858811,,,,
34,0.2774960398674011,0.2897895770564439,0.0005,99.36662435531616,4.113979339599609,0.6573106646537781,0.006994317285716534,4.07311691278389,0.7688692945150418,0.007041571041599549,,,,
35,0.2758873999118805,0.2737824066516389,0.0005,100.5265166759491,4.114306926727295,0.6801373362541199,0.006824276875704527,4.0831223487759845,0.692160182885876,0.006764694999253533,,,,
36,0.27121660113334656,0.2877085135155724,0.0005,100.33339977264404,4.1136698722839355,0.6784912347793579,0.006686532869935036,4.0861843727934,0.7404018050121192,0.006924590055994035,,,,
37,0.27187538146972656,0.2682220004824464,0.0005,99.16059494018555,4.116094589233398,0.6554575562477112,0.006757297087460756,4.110340902481309,0.6471024920425829,0.006717320364808121,,,,
38,0.2654246985912323,0.2702458887349266,0.0005,100.53825426101685,4.111049652099609,0.6373575925827026,0.006482867989689112,4.155321115990079,0.6580379847690008,0.006746416452143134,,,,
39,0.25848692655563354,0.26574364812845963,0.0005,99.45370364189148,4.117041110992432,0.6207204461097717,0.006505412515252829,4.095547012134761,0.581245953875056,0.006960357883159389,,,,
40,0.25865793228149414,0.31095615704179536,0.0005,99.44423413276672,4.116079807281494,0.6525682210922241,0.006361282896250486,4.200673664299411,0.9598191821834686,0.00675130849818625,,,,
41,0.25661301612854004,0.2545820854800283,0.0005,100.0364637374878,4.116060733795166,0.6270429491996765,0.006310119293630123,4.018806518333512,0.5311115160713181,0.006206736705252744,,,,
42,0.24767647683620453,0.2552020485349838,0.0005,99.84555101394653,4.116352558135986,0.6364794373512268,0.0060734739527106285,4.0552630135435965,0.568682500936145,0.006336349075310789,,,,
43,0.2416931688785553,0.25962607947484334,0.0005,99.99488759040833,4.1169328689575195,0.5924654006958008,0.00601957505568862,3.989887519644721,0.5318820681427546,0.006127539273472254,,,,
44,0.23536184430122375,0.28858696274356743,0.0005,100.45883440971375,4.118789196014404,0.5676104426383972,0.00579590629786253,4.102690660312662,0.9067879540931909,0.006469181461539529,,,,
45,0.24123704433441162,0.28453871910555695,0.00025,99.49760961532593,4.11864709854126,0.6054075360298157,0.005832964088767767,4.01920023120779,0.6416926957656207,0.006911692180761231,,,,
46,0.21477718651294708,0.2442962867956074,0.00025,100.14148950576782,4.117256164550781,0.4940619170665741,0.0054456498473882675,4.126148074284213,0.6864260671174897,0.005824659479921842,,,,
47,0.21116872131824493,0.23793282912315017,0.00025,100.1941704750061,4.119786262512207,0.4952841103076935,0.005337254144251347,4.097259096080755,0.6285077696545206,0.005798492882963122,,,,
48,0.2063705027103424,0.21961745366872684,0.00025,99.12816643714905,4.119175434112549,0.4805837571620941,0.005251519847661257,4.113923853274753,0.47256008896769086,0.005640145355066206,,,,
