epoch,train_loss,val_loss,lr,elapsed,train_mu_mae,train_alpha_mae,train_gap_mae,val_mu_mae,val_alpha_mae,val_gap_mae,test_loss,test_mu_mae,test_alpha_mae,test_gap_mae
1,5.327214241027832,3.105706318736977,0.001,90.96085500717163,7.749444007873535,26.442150115966797,0.043375711888074875,5.246844809882855,13.28703619131256,0.05804801758820291,,,,
2,2.8396401405334473,2.582111977245634,0.001,101.3164165019989,4.348880767822266,13.246777534484863,0.041889604181051254,3.799628509587489,11.427169059538363,0.03906764548931917,,,,
3,2.5111093521118164,2.595696286693309,0.001,100.11035919189453,4.4145588874816895,11.754239082336426,0.03858569264411926,3.4759762780878325,12.76322443456895,0.04047582460203322,,,,
4,2.3328003883361816,2.0524506380946765,0.001,100.91105127334595,4.234412670135498,10.580914497375488,0.03787435591220856,3.753382989412447,9.355588578798873,0.036507394771767156,,,,
5,2.959331512451172,2.3743991722810853,0.001,100.36556100845337,4.763876438140869,13.755035400390625,0.042528461664915085,5.632562731769082,9.08995715881045,0.03757041973661516,,,,
6,2.1101233959198,1.867147597731316,0.001,100.96508884429932,4.1345624923706055,9.059798240661621,0.03683897852897644,3.753824583462609,7.268306542262041,0.03555747551405195,,,,
7,2.0976247787475586,2.2767619095544456,0.001,101.10021567344666,4.1582489013671875,8.734206199645996,0.03832334652543068,4.582207864038317,9.40552302358322,0.04550073800420293,,,,
8,2.170747995376587,1.7530568496033512,0.001,100.23199534416199,4.168280124664307,9.630012512207031,0.036821238696575165,4.398100637133761,6.463815684967523,0.03529473534766499,,,,
9,1.8744429349899292,1.6655777809373564,0.001,100.65735578536987,4.088118553161621,7.598538875579834,0.03577578440308571,3.8718568254047963,5.0979969853055955,0.03493725167994833,,,,
10,1.820048451423645,2.1647509410914836,0.001,101.37826704978943,4.139624118804932,6.967126846313477,0.03574834018945694,4.395826018056094,8.349708862858334,0.043924642392538224,,,,
11,1.9500453472137451,1.9979409316028984,0.001,100.27125310897827,4.132903099060059,7.500180721282959,0.03796284273266792,4.650306801561272,6.6784381442746295,0.03985085045693451,,,,
12,1.9599623680114746,1.5877376483212562,0.001,101.1551685333252,4.1229987144470215,8.19132137298584,0.0354786179959774,3.8609066130866974,5.596933554501384,0.032863222019738715,,,,
13,1.6826086044311523,1.645853451334395,0.001,100.33791708946228,4.030585765838623,6.137032985687256,0.03406723588705063,3.859137289214653,6.376809313224653,0.03233083958966555,,,,
14,1.5662834644317627,1.9148042620761365,0.001,100.77674555778503,4.101347923278809,5.356139183044434,0.03201163560152054,3.695890577181827,7.929197775127093,0.039112843556910096,,,,
15,1.7500079870224,1.5670621879080673,0.001,101.3020670413971,4.042952060699463,6.324216365814209,0.03669862076640129,4.12453103736363,4.899582068400033,0.03487354819316905,,,,
16,1.6241956949234009,1.3951430093820152,0.001,100.3495147228241,4.082482814788818,5.790670394897461,0.03259860724210739,3.6866341103757483,4.124495318677787,0.030303287897335315,,,,
17,1.6111657619476318,1.4616100038622695,0.001,100.71874952316284,4.138454914093018,5.520623683929443,0.03343070298433304,4.30690811674575,4.538435910951764,0.03232741076696918,,,,
18,1.5191328525543213,1.3229811938580964,0.001,100.4285204410553,4.0513482093811035,5.553267002105713,0.03186212107539177,3.721512052827711,4.096457637191413,0.028716848067490194,,,,
19,1.328791618347168,1.6953558874029029,0.001,100.61163401603699,4.029512405395508,4.3058881759643555,0.027719274163246155,3.8170282430202027,9.134012633946663,0.024154836591190627,,,,
20,1.3953535556793213,1.204736437797311,0.001,101.27013731002808,4.031066417694092,4.948293209075928,0.027455776929855347,4.11585330160442,3.331225638670412,0.028035495382600636,,,,
21,1.2741973400115967,1.2391046643133559,0.001,100.64012885093689,4.040781497955322,4.123048305511475,0.026166046038269997,3.9880127130588363,4.128256543141548,0.026698687441763645,,,,
22,1.2070575952529907,1.3323771764620416,0.001,100.9207055568695,4.062538146972656,4.145798206329346,0.02400587685406208,4.356232278384796,5.024935066496955,0.025630257244732606,,,,
23,1.2782020568847656,1.4437108977193946,0.001,101.47144389152527,4.025839328765869,4.555033206939697,0.024636710062623024,4.216490121633249,6.285360833690746,0.028405275897604696,,,,
24,1.2923346757888794,1.6266970835486727,0.0005,100.54211974143982,4.094640254974365,4.809018611907959,0.025347217917442322,3.8667842052693415,7.345101725368384,0.028077697792120958,,,,
25,1.068299412727356,1.0532366611435329,0.0005,101.17773485183716,4.062408924102783,3.3266994953155518,0.022746441885828972,4.060382298881342,3.1363839024104374,0.024276074259103553,,,,
26,1.0712648630142212,0.9718527505938849,0.0005,100.8989646434784,4.049526214599609,3.071333885192871,0.02414761669933796,4.158039907585946,3.349438809698824,0.019413190167924137,,,,
27,0.9548941850662231,0.8978902011714001,0.0005,101.17907571792603,4.069350242614746,3.0954785346984863,0.020006444305181503,4.204594658470615,2.5173793964114815,0.02083023112375206,,,,
28,0.9654364585876465,0.8347290195316884,0.0005,101.19663643836975,4.07016658782959,2.9250969886779785,0.02042308822274208,4.045356498970039,2.4503539384055797,0.017950347554238938,,,,
29,0.8613015413284302,0.9320689876958638,0.0005,100.25707864761353,4.056921005249023,2.406790018081665,0.019007278606295586,4.143698419512169,2.7694356094527386,0.02169238936091485,,,,
