epoch,train_loss,val_loss,val_mu_mae,val_alpha_mae,val_gap_mae
193,0.3791,0.4013,4.115,0.9791,0.0093
194,0.3787,0.4014,4.1106,0.9797,0.0093
195,0.3788,0.4015,4.1356,0.9799,0.0093
196,0.3785,0.4009,4.1191,0.9772,0.0093
197,0.3785,0.4008,4.1262,0.9806,0.0093
198,0.3783,0.4007,4.1216,0.9785,0.0093
199,0.3782,0.4006,4.1095,0.9783,0.0093
200,0.378,0.4007,4.1278,0.9782,0.0093
201,0.3779,0.4005,4.1223,0.9755,0.0093
202,0.3778,0.401,4.1066,0.9826,0.0092
203,0.3778,0.4002,4.1129,0.9773,0.0092
204,0.3775,0.4009,4.1315,0.9816,0.0093
205,0.3773,0.3999,4.117,0.9771,0.0092
206,0.3773,0.3999,4.1264,0.9745,0.0092
207,0.3771,0.3998,4.1304,0.9734,0.0092
208,0.3771,0.3999,4.1188,0.9733,0.0092
209,0.3769,0.3995,4.1148,0.9747,0.0092
210,0.3767,0.3993,4.1218,0.9725,0.0092
211,0.3767,0.3993,4.1167,0.974,0.0092
212,0.3766,0.3995,4.1079,0.9752,0.0092
213,0.3764,0.3992,4.1184,0.9733,0.0092
214,0.3763,0.3995,4.1157,0.974,0.0092
215,0.3763,0.3986,4.1166,0.9712,0.0092
216,0.3762,0.3987,4.1246,0.9712,0.0092
217,0.3759,0.3985,4.1191,0.9707,0.0092
218,0.3758,0.3989,4.1079,0.9758,0.0092
219,0.3757,0.3985,4.1242,0.9741,0.0092
220,0.3755,0.3986,4.1278,0.9714,0.0092
221,0.3753,0.3984,4.1149,0.9707,0.0092
222,0.3754,0.3981,4.1069,0.9696,0.0092
223,0.3752,0.3988,4.122,0.9768,0.0092
224,0.3751,0.3985,4.126,0.9708,0.0092
225,0.375,0.3976,4.1245,0.9678,0.0092
226,0.3748,0.3978,4.1225,0.969,0.0092
227,0.3747,0.3979,4.1194,0.969,0.0092
228,0.3745,0.3976,4.1245,0.9685,0.0092
229,0.3744,0.3983,4.1146,0.9736,0.0092
230,0.3739,0.3972,4.1217,0.9657,0.0092
231,0.3737,0.3974,4.1211,0.9673,0.0092
232,0.3737,0.3976,4.1147,0.9728,0.0092
233,0.3736,0.397,4.1175,0.9661,0.0092
234,0.3735,0.397,4.1255,0.9655,0.0092
235,0.3734,0.3972,4.126,0.9683,0.0092
236,0.3734,0.3969,4.1205,0.9662,0.0092
237,0.3733,0.397,4.1258,0.9691,0.0092
238,0.3732,0.3966,4.1173,0.9653,0.0092
239,0.3732,0.3966,4.1186,0.965,0.0092
240,0.3731,0.3969,4.1283,0.966,0.0092
241,0.3731,0.3965,4.1159,0.9644,0.0092
242,0.373,0.3967,4.1192,0.9679,0.0092
243,0.3728,0.3963,4.1195,0.9642,0.0092
244,0.3729,0.3966,4.1204,0.9665,0.0092
245,0.3727,0.3963,4.1182,0.9641,0.0092
246,0.3727,0.3963,4.1185,0.9654,0.0092
247,0.3726,0.3961,4.1236,0.9633,0.0092
248,0.3725,0.3964,4.1183,0.9644,0.0092
249,0.3725,0.3963,4.1175,0.9664,0.0092
250,0.3724,0.3961,4.1175,0.9647,0.0092
251,0.3723,0.396,4.1263,0.9636,0.0092
252,0.3722,0.3959,4.1256,0.9634,0.0092
253,0.3722,0.3959,4.1161,0.9632,0.0092
254,0.3722,0.3957,4.1226,0.9619,0.0092
255,0.3721,0.396,4.1171,0.9664,0.0092
256,0.372,0.3958,4.1235,0.963,0.0092
257,0.372,0.3957,4.1273,0.9626,0.0092
258,0.3719,0.3958,4.1223,0.9647,0.0092
259,0.3718,0.3957,4.1129,0.9629,0.0092
260,0.3718,0.3955,4.1262,0.9624,0.0092
261,0.3717,0.3954,4.1247,0.9613,0.0092
262,0.3716,0.3954,4.1178,0.9609,0.0092
263,0.3716,0.3953,4.1137,0.9608,0.0091
264,0.3715,0.3955,4.119,0.961,0.0092
265,0.3715,0.3952,4.1224,0.9603,0.0092
266,0.3714,0.3957,4.1167,0.9646,0.0092
267,0.3713,0.3954,4.1201,0.9625,0.0091
268,0.3712,0.3951,4.1166,0.9616,0.0091
269,0.3711,0.3953,4.1268,0.9604,0.0092
270,0.3711,0.3948,4.1228,0.9598,0.0091
271,0.371,0.395,4.116,0.9615,0.0091
272,0.371,0.3949,4.1156,0.9602,0.0091
273,0.3711,0.3948,4.1136,0.9599,0.0091
274,0.3709,0.3947,4.1213,0.9605,0.0091
275,0.3708,0.3947,4.1174,0.9592,0.0091
276,0.3707,0.3947,4.1262,0.9591,0.0091
277,0.3707,0.3947,4.12,0.9598,0.0091
278,0.3706,0.3946,4.1147,0.9596,0.0091
279,0.3703,0.3944,4.1185,0.958,0.0091
280,0.3703,0.3944,4.1245,0.9593,0.0091
281,0.3702,0.3943,4.122,0.9587,0.0091
282,0.3702,0.3942,4.1212,0.9573,0.0091
283,0.3702,0.3943,4.118,0.9586,0.0091
284,0.3701,0.3943,4.125,0.9576,0.0091
285,0.3701,0.3942,4.1224,0.9576,0.0091
286,0.37,0.3943,4.123,0.9579,0.0091
287,0.37,0.3945,4.1223,0.9594,0.0091
288,0.3699,0.3943,4.1219,0.9592,0.0091
289,0.37,0.3942,4.1158,0.959,0.0091
290,0.3698,0.394,4.1189,0.9574,0.0091
291,0.3698,0.3941,4.1206,0.9573,0.0091
292,0.3697,0.394,4.1215,0.957,0.0091
293,0.3697,0.394,4.1211,0.9568,0.0091
294,0.3697,0.394,4.1239,0.9573,0.0091
295,0.3697,0.394,4.122,0.9569,0.0091
296,0.3697,0.394,4.1227,0.9568,0.0091
297,0.3696,0.394,4.1242,0.9569,0.0091
298,0.3696,0.3939,4.1222,0.9572,0.0091
299,0.3695,0.3939,4.1184,0.9568,0.0091
300,0.3695,0.3939,4.1178,0.957,0.0091
301,0.3695,0.394,4.1205,0.9568,0.0091
302,0.3695,0.3939,4.1201,0.9575,0.0091
303,0.3695,0.3939,4.1197,0.9568,0.0091
304,0.3695,0.3939,4.1195,0.9568,0.0091
305,0.3694,0.3939,4.1201,0.9567,0.0091
306,0.3694,0.3939,4.1204,0.9567,0.0091
307,0.3694,0.3938,4.1207,0.9566,0.0091
308,0.3694,0.3939,4.1199,0.9566,0.0091
309,0.3694,0.3938,4.1202,0.9566,0.0091
310,0.3694,0.3939,4.1204,0.9568,0.0091
311,0.3694,0.3938,4.1206,0.9566,0.0091
312,0.3694,0.3938,4.1211,0.9565,0.0091
313,0.3694,0.3939,4.1203,0.9566,0.0091
314,0.3694,0.3938,4.1204,0.9564,0.0091
315,0.3694,0.3938,4.1194,0.9565,0.0091
316,0.3694,0.3938,4.1202,0.9565,0.0091
317,0.3694,0.3938,4.1203,0.9566,0.0091
318,0.3694,0.3938,4.1201,0.9565,0.0091
319,0.3694,0.3938,4.1205,0.9566,0.0091
320,0.3694,0.3938,4.1203,0.9565,0.0091
321,0.3694,0.3938,4.1205,0.9565,0.0091
322,0.3694,0.3938,4.1207,0.9565,0.0091
323,0.3694,0.3938,4.1206,0.9565,0.0091
324,0.3694,0.3938,4.1205,0.9565,0.0091
325,0.3694,0.3938,4.1203,0.9566,0.0091
326,0.3694,0.3938,4.1204,0.9565,0.0091
327,0.3694,0.3938,4.1204,0.9565,0.0091
328,0.3694,0.3938,4.1201,0.9565,0.0091
329,0.3694,0.3938,4.1202,0.9566,0.0091
330,0.3694,0.3938,4.1205,0.9565,0.0091
331,0.3694,0.3938,4.1204,0.9565,0.0091
332,0.3694,0.3938,4.1201,0.9566,0.0091
333,0.3694,0.3938,4.1202,0.9566,0.0091
334,0.3694,0.3938,4.1203,0.9565,0.0091
335,0.3694,0.3938,4.1202,0.9565,0.0091
336,0.3694,0.3938,4.1203,0.9564,0.0091
337,0.3694,0.3938,4.1203,0.9565,0.0091
338,0.3694,0.3938,4.1201,0.9565,0.0091
339,0.3694,0.3938,4.1203,0.9565,0.0091
340,0.3694,0.3938,4.1205,0.9565,0.0091
341,0.3694,0.3938,4.1203,0.9565,0.0091
342,0.3694,0.3938,4.1204,0.9565,0.0091
343,0.3694,0.3938,4.1203,0.9565,0.0091
344,0.3694,0.3938,4.1204,0.9565,0.0091
345,0.3694,0.3938,4.1206,0.9566,0.0091
346,0.3693,0.3938,4.1204,0.9565,0.0091
347,0.3693,0.3938,4.1202,0.9565,0.0091
348,0.3693,0.3938,4.1207,0.9565,0.0091
349,0.3693,0.3938,4.1205,0.9565,0.0091
350,0.3693,0.3938,4.1203,0.9565,0.0091
351,0.3693,0.3938,4.1206,0.9565,0.0091
352,0.3693,0.3938,4.1205,0.9565,0.0091
353,0.3693,0.3938,4.1204,0.9565,0.0091
354,0.3693,0.3938,4.1205,0.9565,0.0091
355,0.3693,0.3938,4.1207,0.9564,0.0091
356,0.3693,0.3938,4.1205,0.9565,0.0091
357,0.3693,0.3938,4.1205,0.9565,0.0091
358,0.3693,0.3938,4.1205,0.9565,0.0091
359,0.3693,0.3938,4.1203,0.9565,0.0091
360,0.3693,0.3938,4.1201,0.9565,0.0091
361,0.3693,0.3938,4.1203,0.9565,0.0091
362,0.3693,0.3938,4.1204,0.9564,0.0091
363,0.3693,0.3938,4.1204,0.9565,0.0091
364,0.3693,0.3938,4.1205,0.9564,0.0091
365,0.3693,0.3938,4.1205,0.9564,0.0091
366,0.3693,0.3938,4.1204,0.9565,0.0091
367,0.3693,0.3938,4.1204,0.9565,0.0091
368,0.3693,0.3938,4.1204,0.9564,0.0091
369,0.3693,0.3938,4.1203,0.9564,0.0091
370,0.3693,0.3938,4.1204,0.9565,0.0091
371,0.3693,0.3938,4.1202,0.9564,0.0091
372,0.3693,0.3938,4.1205,0.9565,0.0091
373,0.3693,0.3938,4.1205,0.9565,0.0091
374,0.3693,0.3938,4.1204,0.9565,0.0091
375,0.3693,0.3938,4.1203,0.9565,0.0091
376,0.3693,0.3938,4.1205,0.9565,0.0091
377,0.3693,0.3938,4.1204,0.9564,0.0091
378,0.3693,0.3938,4.1204,0.9564,0.0091
379,0.3693,0.3938,4.1203,0.9564,0.0091
380,0.3693,0.3938,4.1203,0.9565,0.0091
381,0.3693,0.3938,4.1204,0.9564,0.0091
382,0.3693,0.3938,4.1203,0.9565,0.0091
383,0.3693,0.3938,4.1204,0.9564,0.0091
384,0.3693,0.3938,4.1205,0.9564,0.0091
385,0.3693,0.3938,4.1206,0.9564,0.0091
386,0.3693,0.3938,4.1205,0.9564,0.0091
387,0.3693,0.3938,4.1205,0.9564,0.0091
388,0.3693,0.3938,4.1205,0.9565,0.0091
389,0.3693,0.3938,4.1205,0.9564,0.0091
390,0.3693,0.3938,4.1204,0.9564,0.0091
391,0.3693,0.3938,4.1202,0.9564,0.0091
392,0.3693,0.3938,4.1206,0.9565,0.0091
393,0.3693,0.3938,4.1203,0.9564,0.0091
394,0.3693,0.3938,4.1201,0.9563,0.0091
395,0.3693,0.3938,4.1201,0.9564,0.0091
396,0.3693,0.3938,4.1203,0.9564,0.0091
397,0.3693,0.3938,4.1204,0.9564,0.0091
398,0.3693,0.3938,4.1205,0.9564,0.0091
399,0.3693,0.3938,4.1204,0.9564,0.0091
400,0.3693,0.3938,4.1205,0.9564,0.0091
401,0.3693,0.3938,4.1204,0.9564,0.0091
402,0.3693,0.3938,4.1206,0.9564,0.0091
403,0.3693,0.3938,4.1203,0.9564,0.0091
404,0.3693,0.3938,4.1203,0.9565,0.0091
405,0.3693,0.3938,4.1203,0.9565,0.0091
406,0.3693,0.3938,4.1204,0.9564,0.0091
407,0.3693,0.3938,4.1203,0.9564,0.0091
408,0.3693,0.3938,4.1202,0.9564,0.0091
409,0.3693,0.3938,4.1203,0.9564,0.0091
410,0.3693,0.3938,4.1202,0.9564,0.0091
411,0.3693,0.3938,4.1202,0.9564,0.0091
412,0.3693,0.3938,4.1202,0.9564,0.0091
413,0.3693,0.3938,4.1203,0.9564,0.0091
414,0.3693,0.3938,4.1204,0.9564,0.0091
415,0.3693,0.3938,4.1204,0.9564,0.0091
416,0.3693,0.3938,4.1204,0.9564,0.0091
417,0.3693,0.3938,4.1205,0.9564,0.0091
418,0.3693,0.3938,4.1204,0.9564,0.0091
419,0.3693,0.3938,4.1203,0.9564,0.0091
420,0.3693,0.3938,4.1203,0.9564,0.0091
421,0.3693,0.3938,4.1204,0.9564,0.0091
422,0.3693,0.3938,4.1204,0.9564,0.0091
423,0.3693,0.3938,4.1205,0.9564,0.0091
424,0.3693,0.3938,4.1204,0.9564,0.0091
425,0.3693,0.3938,4.1205,0.9564,0.0091
426,0.3693,0.3938,4.1203,0.9564,0.0091
427,0.3693,0.3938,4.1205,0.9563,0.0091
428,0.3693,0.3938,4.1204,0.9564,0.0091
429,0.3693,0.3938,4.1204,0.9564,0.0091
430,0.3693,0.3938,4.1206,0.9564,0.0091
431,0.3693,0.3938,4.1203,0.9564,0.0091
432,0.3693,0.3938,4.1203,0.9564,0.0091
433,0.3693,0.3938,4.1204,0.9564,0.0091
434,0.3693,0.3938,4.1203,0.9564,0.0091
435,0.3693,0.3938,4.1203,0.9564,0.0091
436,0.3693,0.3938,4.1203,0.9564,0.0091
437,0.3693,0.3938,4.1204,0.9564,0.0091
438,0.3693,0.3938,4.1204,0.9564,0.0091
439,0.3693,0.3938,4.1205,0.9563,0.0091
440,0.3693,0.3938,4.1204,0.9564,0.0091
441,0.3693,0.3938,4.1205,0.9564,0.0091
442,0.3693,0.3938,4.1203,0.9564,0.0091
443,0.3693,0.3938,4.1206,0.9564,0.0091
444,0.3693,0.3938,4.1204,0.9564,0.0091
445,0.3693,0.3938,4.1204,0.9564,0.0091
446,0.3693,0.3938,4.1204,0.9564,0.0091
447,0.3693,0.3938,4.1201,0.9564,0.0091
448,0.3693,0.3938,4.1205,0.9563,0.0091
449,0.3693,0.3938,4.1204,0.9563,0.0091
450,0.3693,0.3938,4.1203,0.9564,0.0091
451,0.3693,0.3938,4.1206,0.9563,0.0091
452,0.3693,0.3938,4.1204,0.9563,0.0091
453,0.3693,0.3938,4.1204,0.9563,0.0091
454,0.3693,0.3938,4.1204,0.9564,0.0091
455,0.3693,0.3938,4.1204,0.9563,0.0091
456,0.3693,0.3938,4.1204,0.9563,0.0091
457,0.3693,0.3938,4.1204,0.9564,0.0091
458,0.3693,0.3938,4.1204,0.9563,0.0091
459,0.3693,0.3938,4.1205,0.9563,0.0091
460,0.3693,0.3938,4.1205,0.9564,0.0091
461,0.3693,0.3938,4.1204,0.9563,0.0091
462,0.3693,0.3938,4.1205,0.9563,0.0091
463,0.3693,0.3938,4.1205,0.9564,0.0091
464,0.3693,0.3938,4.1204,0.9563,0.0091
465,0.3693,0.3938,4.1204,0.9563,0.0091
466,0.3693,0.3938,4.1202,0.9563,0.0091
467,0.3693,0.3938,4.1204,0.9563,0.0091
468,0.3693,0.3938,4.1203,0.9563,0.0091
469,0.3693,0.3938,4.1204,0.9564,0.0091
470,0.3693,0.3938,4.1205,0.9563,0.0091
471,0.3693,0.3938,4.1205,0.9563,0.0091
472,0.3693,0.3938,4.1203,0.9564,0.0091
473,0.3693,0.3938,4.1203,0.9563,0.0091
474,0.3693,0.3938,4.1204,0.9563,0.0091
475,0.3693,0.3938,4.1205,0.9563,0.0091
